experiment,epoch,timestamp,source,grad_norm,train_loss,lr
0026_20260901_dino_clipgrad03,38,20260902-165917,log_145646.txt,0.8881,2.1858,0.00198
0026_20260901_dino_clipgrad03,39,20260902-170605,log_145646.txt,0.8411,2.1714,0.00198
0026_20260901_dino_clipgrad03,40,20260902-171254,log_145646.txt,0.8363,2.1597,0.00198
0026_20260901_dino_clipgrad03,41,20260902-172001,log_145646.txt,0.8643,2.1469,0.00198
0026_20260901_dino_clipgrad03,42,20260902-172650,log_145646.txt,0.8915,2.1467,0.00198
0026_20260901_dino_clipgrad03,43,20260902-173338,log_145646.txt,0.9013,2.1292,0.00198
0026_20260901_dino_clipgrad03,44,20260902-174026,log_145646.txt,0.9618,2.1224,0.00198
0026_20260901_dino_clipgrad03,45,20260902-174714,log_145646.txt,0.9448,2.113,0.00198
0026_20260901_dino_clipgrad03,46,20260902-175420,log_145646.txt,0.9331,2.1028,0.00197
0026_20260901_dino_clipgrad03,47,20260902-180108,log_145646.txt,0.8565,2.0869,0.00197
0026_20260901_dino_clipgrad03,48,20260902-180756,log_145646.txt,0.8608,2.0843,0.00197
0026_20260901_dino_clipgrad03,49,20260902-181446,log_145646.txt,0.8542,2.0706,0.00197
0026_20260901_dino_clipgrad03,50,20260902-182135,log_145646.txt,0.8374,2.0612,0.00197
0026_20260901_dino_clipgrad03,51,20260902-182841,log_145646.txt,0.855,2.0537,0.00197
0026_20260901_dino_clipgrad03,52,20260902-183530,log_145646.txt,0.8065,2.0455,0.00196
0026_20260901_dino_clipgrad03,53,20260902-184219,log_145646.txt,0.8087,2.0364,0.00196
0026_20260901_dino_clipgrad03,54,20260902-184906,log_145646.txt,0.8106,2.0325,0.00196
0026_20260901_dino_clipgrad03,55,20260902-185554,log_145646.txt,1.0727,2.0787,0.00196
0026_20260901_dino_clipgrad03,56,20260902-190301,log_145646.txt,1.1301,2.08,0.00196
0026_20260901_dino_clipgrad03,57,20260902-190949,log_145646.txt,0.9086,2.0357,0.00196
0026_20260901_dino_clipgrad03,58,20260902-191637,log_145646.txt,1.1054,2.0441,0.00195
0026_20260901_dino_clipgrad03,59,20260902-192325,log_145646.txt,0.9262,2.0272,0.00195
0026_20260901_dino_clipgrad03,60,20260902-193013,log_145646.txt,1.1384,2.0228,0.00195
0026_20260901_dino_clipgrad03,61,20260902-193723,log_145646.txt,1.3526,2.0399,0.00195
0026_20260901_dino_clipgrad03,62,20260902-194411,log_145646.txt,1.6852,2.0571,0.00194
0026_20260901_dino_clipgrad03,63,20260902-195059,log_145646.txt,1.5681,2.0512,0.00194
0026_20260901_dino_clipgrad03,64,20260902-195748,log_145646.txt,1.1382,2.0259,0.00194
0026_20260901_dino_clipgrad03,65,20260902-200436,log_145646.txt,1.1912,2.0136,0.00194
0026_20260901_dino_clipgrad03,66,20260902-201143,log_145646.txt,0.9964,5.3178,0.00194
0026_20260901_dino_clipgrad03,67,20260902-201831,log_145646.txt,1.304,2.6034,0.00193
0026_20260901_dino_clipgrad03,68,20260902-202519,log_145646.txt,1.4679,2.1363,0.00193
0026_20260901_dino_clipgrad03,69,20260902-203207,log_145646.txt,1.2185,1.9689,0.00193
0026_20260901_dino_clipgrad03,70,20260902-203855,log_145646.txt,1.0975,1.8598,0.00193
0026_20260901_dino_clipgrad03,71,20260902-204601,log_145646.txt,1.0744,1.7807,0.00192
0026_20260901_dino_clipgrad03,72,20260902-205250,log_145646.txt,1.021,1.731,0.00192
0026_20260901_dino_clipgrad03,73,20260902-205938,log_145646.txt,1.2273,1.6919,0.00192
0026_20260901_dino_clipgrad03,74,20260902-210626,log_145646.txt,1.2609,1.672,0.00192
0026_20260901_dino_clipgrad03,75,20260902-211314,log_145646.txt,1.7781,1.6647,0.00191
0026_20260901_dino_clipgrad03,76,20260902-212020,log_145646.txt,2.4547,1.6608,0.00191
0026_20260901_dino_clipgrad03,77,20260902-212708,log_145646.txt,2.9517,1.659,0.00191
0026_20260901_dino_clipgrad03,78,20260902-213356,log_145646.txt,1.7406,1.6363,0.00191
0026_20260901_dino_clipgrad03,79,20260902-214045,log_145646.txt,1.2355,1.6165,0.0019
0026_20260901_dino_clipgrad03,80,20260902-214732,log_145646.txt,1.0936,1.5993,0.0019
0026_20260901_dino_clipgrad03,81,20260902-215440,log_145646.txt,1.3936,1.5938,0.0019
0026_20260901_dino_clipgrad03,82,20260902-220128,log_145646.txt,2.2229,1.5988,0.00189
0026_20260901_dino_clipgrad03,83,20260902-220815,log_145646.txt,2.5232,1.6129,0.00189
0026_20260901_dino_clipgrad03,84,20260902-221503,log_145646.txt,2.5917,1.5976,0.00189
0026_20260901_dino_clipgrad03,85,20260902-222152,log_145646.txt,5.6725,1.6132,0.00189
0026_20260901_dino_clipgrad03,86,20260902-222858,log_145646.txt,2.8939,1.6084,0.00188
0026_20260901_dino_clipgrad03,87,20260902-223547,log_145646.txt,4.8638,1.6099,0.00188
0026_20260901_dino_clipgrad03,88,20260902-224235,log_145646.txt,5.9848,1.6051,0.00188
0026_20260901_dino_clipgrad03,89,20260902-224922,log_145646.txt,3.7777,6.4304,0.00187
0026_20260901_dino_clipgrad03,90,20260902-225610,log_145646.txt,0.0002,11.0904,0.00187
0026_20260901_dino_clipgrad03,91,20260902-230316,log_145646.txt,0.0001,11.0904,0.00187
0026_20260901_dino_clipgrad03,92,20260902-231005,log_145646.txt,0.0003,11.0904,0.00186
0026_20260901_dino_clipgrad03,93,20260902-231653,log_145646.txt,0.0004,11.0904,0.00186
0026_20260901_dino_clipgrad03,94,20260902-232340,log_145646.txt,0.0003,11.0904,0.00186
0026_20260901_dino_clipgrad03,95,20260902-233028,log_145646.txt,0.0004,11.0904,0.00185
0028_20260917_dino_lr_half,1,20260917-200301,log_195710.txt,2.0571,10.7738,1e-05
0028_20260917_dino_lr_half,2,20260917-200951,log_195710.txt,4.2075,8.9015,0.000109
0028_20260917_dino_lr_half,3,20260917-201639,log_195710.txt,2.2559,9.6866,0.000208
0028_20260917_dino_lr_half,4,20260917-202327,log_195710.txt,2.9638,8.8578,0.000307
0028_20260917_dino_lr_half,5,20260917-203014,log_195710.txt,2.9491,7.6981,0.000406
0028_20260917_dino_lr_half,6,20260917-203721,log_195710.txt,3.0548,6.4259,0.000505
0028_20260917_dino_lr_half,7,20260917-204409,log_195710.txt,2.9548,5.4686,0.000604
0028_20260917_dino_lr_half,8,20260917-205056,log_195710.txt,2.6913,4.7919,0.000703
0028_20260917_dino_lr_half,9,20260917-205744,log_195710.txt,2.4333,4.2494,0.000802
0028_20260917_dino_lr_half,10,20260917-210431,log_195710.txt,2.1704,3.8601,0.000901
0028_20260917_dino_lr_half,11,20260917-211137,log_195710.txt,1.9488,3.5613,0.001
0028_20260917_dino_lr_half,12,20260917-211825,log_195710.txt,1.7368,3.3044,0.001
0028_20260917_dino_lr_half,13,20260917-212511,log_195710.txt,1.4985,3.0685,0.001
0028_20260917_dino_lr_half,14,20260917-213159,log_195710.txt,1.3846,2.8957,0.001
0028_20260917_dino_lr_half,15,20260917-213846,log_195710.txt,1.2981,2.7533,0.001
0028_20260917_dino_lr_half,16,20260917-214551,log_195710.txt,1.2356,2.6325,0.001
0028_20260917_dino_lr_half,17,20260917-215238,log_195710.txt,1.1722,2.5311,0.001
0028_20260917_dino_lr_half,18,20260917-215925,log_195710.txt,1.1102,2.441,0.000999
0028_20260917_dino_lr_half,19,20260917-220612,log_195710.txt,1.1183,2.3702,0.000999
0028_20260917_dino_lr_half,20,20260917-221258,log_195710.txt,1.0434,2.2954,0.000999
0028_20260917_dino_lr_half,21,20260917-222004,log_195710.txt,1.0194,2.233,0.000999
0028_20260917_dino_lr_half,22,20260917-222651,log_195710.txt,0.9969,2.1814,0.000999
0028_20260917_dino_lr_half,23,20260917-223338,log_195710.txt,1.001,2.1362,0.000998
0028_20260917_dino_lr_half,24,20260917-224024,log_195710.txt,0.9762,2.0934,0.000998
0028_20260917_dino_lr_half,25,20260917-224710,log_195710.txt,0.9491,2.0567,0.000998
0028_20260917_dino_lr_half,26,20260917-225416,log_195710.txt,0.9497,2.0302,0.000998
0028_20260917_dino_lr_half,27,20260917-230102,log_195710.txt,0.8973,2.0023,0.000997
0028_20260917_dino_lr_half,28,20260917-230749,log_195710.txt,0.9148,1.9756,0.000997
0028_20260917_dino_lr_half,29,20260917-231435,log_195710.txt,0.8749,1.9527,0.000997
0028_20260917_dino_lr_half,30,20260917-232121,log_195710.txt,0.8766,1.9354,0.000996
0028_20260917_dino_lr_half,31,20260917-232825,log_195710.txt,0.849,1.9146,0.000996
0028_20260917_dino_lr_half,32,20260917-233511,log_195710.txt,0.8695,1.902,0.000995
0028_20260917_dino_lr_half,33,20260917-234158,log_195710.txt,0.8083,1.877,0.000995
0028_20260917_dino_lr_half,34,20260917-234845,log_195710.txt,0.8091,1.8609,0.000994
0028_20260917_dino_lr_half,35,20260917-235531,log_195710.txt,0.8035,1.8464,0.000994
0028_20260917_dino_lr_half,36,20260918-000236,log_195710.txt,0.8022,1.8303,0.000993
0028_20260917_dino_lr_half,37,20260918-000922,log_195710.txt,0.7832,1.8175,0.000993
0028_20260917_dino_lr_half,38,20260918-001609,log_195710.txt,0.8089,1.806,0.000992
0028_20260917_dino_lr_half,39,20260918-002256,log_195710.txt,0.8309,1.7946,0.000992
0028_20260917_dino_lr_half,40,20260918-002942,log_195710.txt,0.8022,1.783,0.000991
0028_20260917_dino_lr_half,41,20260918-003646,log_195710.txt,0.7889,1.7675,0.00099
0028_20260917_dino_lr_half,42,20260918-004332,log_195710.txt,0.7823,1.7559,0.00099
0028_20260917_dino_lr_half,43,20260918-005019,log_195710.txt,0.7749,1.7415,0.000989
0028_20260917_dino_lr_half,44,20260918-005706,log_195710.txt,0.77,1.7329,0.000988
0028_20260917_dino_lr_half,45,20260918-010353,log_195710.txt,0.7767,1.7248,0.000988
0028_20260917_dino_lr_half,46,20260918-011058,log_195710.txt,0.7664,1.7143,0.000987
0028_20260917_dino_lr_half,47,20260918-011745,log_195710.txt,0.791,1.709,0.000986
0028_20260917_dino_lr_half,48,20260918-012431,log_195710.txt,0.7754,1.6984,0.000985
0028_20260917_dino_lr_half,49,20260918-013118,log_195710.txt,0.7564,1.6883,0.000985
0028_20260917_dino_lr_half,50,20260918-013806,log_195710.txt,0.7638,1.6881,0.000984
0028_20260917_dino_lr_half,51,20260918-014511,log_195710.txt,0.7323,1.6762,0.000983
0028_20260917_dino_lr_half,52,20260918-015158,log_195710.txt,0.7402,1.6699,0.000982
0028_20260917_dino_lr_half,53,20260918-015845,log_195710.txt,0.7568,1.6648,0.000981
0028_20260917_dino_lr_half,54,20260918-020531,log_195710.txt,0.7672,1.6596,0.00098
0028_20260917_dino_lr_half,55,20260918-021217,log_195710.txt,0.7694,1.6556,0.000979
0028_20260917_dino_lr_half,56,20260918-021922,log_195710.txt,0.7676,1.6502,0.000978
0028_20260917_dino_lr_half,57,20260918-022608,log_195710.txt,0.7825,1.6477,0.000978
0028_20260917_dino_lr_half,58,20260918-023255,log_195710.txt,0.7601,1.6387,0.000977
0028_20260917_dino_lr_half,59,20260918-023941,log_195710.txt,0.733,1.6324,0.000976
0028_20260917_dino_lr_half,60,20260918-024628,log_195710.txt,0.7356,1.6271,0.000975
0028_20260917_dino_lr_half,61,20260918-025334,log_195710.txt,0.7328,1.6222,0.000973
0028_20260917_dino_lr_half,62,20260918-030020,log_195710.txt,0.7404,1.6222,0.000972
0028_20260917_dino_lr_half,63,20260918-030706,log_195710.txt,0.7711,1.62,0.000971
0028_20260917_dino_lr_half,64,20260918-031353,log_195710.txt,0.8008,1.6196,0.00097
0028_20260917_dino_lr_half,65,20260918-032040,log_195710.txt,0.7549,1.6125,0.000969
0028_20260917_dino_lr_half,66,20260918-032744,log_195710.txt,0.7514,1.6071,0.000968
0028_20260917_dino_lr_half,67,20260918-033431,log_195710.txt,0.7564,1.6049,0.000967
0028_20260917_dino_lr_half,68,20260918-034118,log_195710.txt,0.7543,1.6,0.000966
0028_20260917_dino_lr_half,69,20260918-034804,log_195710.txt,0.7556,1.5999,0.000964
0028_20260917_dino_lr_half,70,20260918-035451,log_195710.txt,0.7511,1.5953,0.000963
0028_20260917_dino_lr_half,71,20260918-040156,log_195710.txt,0.7614,1.5958,0.000962
0028_20260917_dino_lr_half,72,20260918-040843,log_195710.txt,0.7574,1.5928,0.000961
0028_20260917_dino_lr_half,73,20260918-041531,log_195710.txt,0.7747,1.5932,0.000959
0028_20260917_dino_lr_half,74,20260918-042218,log_195710.txt,0.7787,1.5887,0.000958
0028_20260917_dino_lr_half,75,20260918-042905,log_195710.txt,0.7882,1.5892,0.000957
0028_20260917_dino_lr_half,76,20260918-043609,log_195710.txt,0.8178,1.5893,0.000955
